Cell,Occurrences
Triple quoting,1
Digital Negative,1
Connecticut Supreme Court,1
First child,1
32  64  128 onboard   up to 128 system,1
Compost,1
2009 10 (1 5 0),1
Adjective,1
SiteBar Server,1
FireStream 9170,1
GeForce 6100,1
2013 08 09,1
Dolphin Smalltalk,1
MP3 Rocket,1
0 19 7 (December 17  2014  5 months ago),1
127 0 0 1 white 127 0 0 2 black 127 0 0 3 yellow,1
Linux  Windows,1
 eri,1
E  for  F,1
US 79,1
 erf,1
GeForce4 Go 410,1
An Ghearm in,1
GeForce4 Go 460,1
XAR,1
align,1
Windows   3 0 0 (August 2010  4 years ago)   Mac OS X   1 0 4 (September 14  2005  9 years ago),1
YAML,1
V5 0  V5 1,1
    ,1
16 128 system   16 sideport,1
Middle school,1
school,1
7th grade,1
XBM,1
Radeon X300 SE HyperMemory,1
MagicMail,1
SView5 Graphics,1
Entity owns property,1
Proxy to other server  any other mechanism via AUTH plugins ,1
Performance Winner,1
ZyDAS ZD1211 chipsets,1
 nef,1
2 8 (August 16  2013  21 months ago),1
XCF,1
 dcm   dicom,1
JPEG converters sfwjpg and pwpjpg for Unix Linux and Windows,1
 neo,1
KIFF,1
ORA,1
DOC  ODT,1
Armed Forces of the United States,1
ORF,1
basefont  font,1
Verilator is the fastest free Verilog HDL simulator  It compiles synthesizable Verilog into cycle accurate C   or SystemC code following 2 state synthesis (zero delay) semantics  Benchmarks reported on its website suggest it is several times faster than commercial event driven simulators such as ModelSim  NC Verilog and VCS  while not quite as fast as commercial cycle accurate modeling tools such as Carbon ModelStudio and ARC VTOC ,1
Python GTK2,1
August 8  2006,1
  o  ,1
with patch,1
GeForce4 Go 440,1
Zero,1
Quod Libet Team,1
E not(s1  s2),1
 cpc   cpi,1
FreeBASIC,1
Adaptive Server Enterprise,1
Cube Rules  SVS Triggers,1
Hosts that have allegedly sent spam to the admins of SORBS at any time,1
 eva,1
Qpopper,1
WakandaDB,1
Washington Supreme Court,1
time,1
Supreme Court of Indiana,1
MSEide,1
various any Z39 50,1
GeForce 6600 DDR2,1
7 04,1
I class,1
Returns the string in lower case ,1
Commercial Open Core,1
Christian Fritz,1
ERDAS IMAGINE,1
Junk Email Filter,1
Owner submission,1
Cubes Viewer,1
RealAudio Lossless,1
75mm Type 88,1
Beep Media Player,1
Descendant narrative reports,1
TIFF EP,1
Michael Gorbach,1
TAKABO,1
GeForce2 Go,1
GeoBL,1
image x freehand,1
 exr,1
2 688,1
mantenerlo,1
cross compile from Windows to Java ME,1
XMMS Team,1
SHAPE,1
Alaska Supreme Court,1
1500,1
12th grade,1
GPLv2   LGPL2,1
Web,1
GET,1
 psd   psb   pdb   pdd,1
144 183,1
Internal  LDAP  Open LDAP  Active Directory,1
Radeon R9 M275X,1
Radeon 8500,1
Windows Defender,1
Python PostgreSQL,1
7 20,1
GeForce 6600 LE,1
layer,1
Access server,1
Unicode character zero width space (U 200B),1
Brian Masney,1
2 10 229,1
Chronology view,1
Free defensive substitutions  provided each player occupies the same position in the batting order ,1
3 0 8,1
DB2  MS Access  Sybase,1
7 36,1
ICER,1
 e    i ,1
GeForce 7000M,1
currentColor,1
text interface,1
7 30,1
rootsTrust,1
Atom  DOC  PDF  XML ,1
Radeon DDR 7500 VIVO,1
Delete column,1
GeForce4 MX420,1
ag caint,1
iBooks can read text aloud to the user ,1
Mac OS X 10 6 8 or later  Mac OS X 10 7 5 or later  Mac OS X 10 8 4 or later  Mac OS X 10 9 or later,1
Greenfoot,1
Kostromitinova class,1
YClamAV,1
Yamazuki Maru class,1
EPL ,1
Open source community,1
FIG format,1
Cyrus SASL  Dovecot SASL  GNU SASL  CRAM MD5  Heimdal GSSAPI  PLAIN  LOGIN  SPA,1
E invalid,1
AGP 2x,1
Cartesian Perceptual Compression,1
Supports all Cyrus SASL authentication methods except for APOP ,1
PENTAX,1
GE Energy  a division of General Electric,1
Used to display a blinking text,1
Aug 14  2001,1
Gordano Messaging Suite,1
show all data in all fields,1
clipboard  XML,1
2015 02 11 (4 0 26),1
Mac OS X  Windows  Linux   BSD  Solaris  etc ,1
Sebastian Ramacher,1
Tag Image File Format Fax eXtended,1
2006 10 05,1
Panther,1
Native format of the PhotoLine image editing program ,1
GIF,1
GIH,1
Oct  2004,1
bgcolor,1
Yes (added antivirus capabilities  available in older versions as the Microsoft Security Essentials download),1
Feb  2  2005,1
DNA charts,1
E visited,1
250 250,1
Radeon R5 M330,1
generic JVM,1
Yes (also LCD ability),1
2 5 0 (August 30  2014  9 months ago),1
E attr   value  ,1
GeForce Go 7300,1
Only child of type,1
Supported by Koala Paint,1
1 4 29,1
clear,1
U S  Army  U S  Marine Corps  U S  Navy  U S  Air Force  U S  Coast Guard,1
Srednyaya class,1
C tree,1
taigh,1
video x anim,1
E  first line,1
144 167,1
IBM AIX,1
Used by Windows Presentation Foundation and Microsoft Silverlight ,1
Rdio Inc,1
dnsbl 1 uceprotect net (also free available via rsync ),1
   ,1
Bibus developers,1
Disabled state,1
Product,1
Londain,1
CRAM MD5  DIGEST MD5  PLAIN  LOGIN,1
Monowai,1
Pica,1
KBibTeX developers,1
Free (until version 4),1
The phpPgAdmin Project,1
The Alabama State Senate allows a filibuster  and has a general three fifths requirement to enact cloture  A simple majority of 18 is acceptable when dealing with the budget and redistricting ,1
Yes  Up to 256 channels,1
old spam dnsbl,1
Bitonal document and check images ,1
Zope Corporation,1
XHTML  HTML  CSS  Flash,1
 pix   matte   mask   alpha   als,1
seamless,1
IIQ RAW,1
Localized in Russian  English  Supports online translation via Yandex Translate  Allows to load a user fonts  Extensive options for library sorting  Changing book covers via Google Image Search  Supports of Tor Network,1
Baltic Timber Ship,1
HSL notation,1
WVGA (800   480),1
BSAVE Image,1
Zerst rer 1934,1
Capture One RAW,1
 pnt   mac,1
Supported by Skencil,1
7 3,1
Saumarez,1
Dual GPL BSD with proprietary HAL,1
Family Tree Maker for Mac,1
Integrated with Solaris Nevada build 29,1
Icarus Verilog,1
GenealogyJ,1
1 890,1
Highly compressed raster imaging format ,1
Local filesystem  HTTP  Java applet  Gallery Remote  Picasa 2  Import from Gallery 1 x  Windows XP Publishing Wizard  Local server  GLoSS  WebDAV (as of 2 2),1
Apache License or GPL,1
XPM,1
 tga   tpic,1
2013 08 (4 2 2),1
RV670,1
Tepco,1
blocklist de,1
Partner contract,1
POWER,1
Temporary  until spam stops  has self removal,1
li  ul  ol,1
Ten (either a rover or shortfielder  or a left center and right center fielder),1
search databases from interface,1
Flash Builder,1
 adrg,1
Delaware Supreme Court,1
Numerous biomedical imaging applications (e g  OsiriX  XMedCon)  some general bitmap graphics applications (e g  GIMP  Photoshop),1
16 predefined web colors,1
based on ath9k,1
 adri,1
PAM,1
5 600,1
16  32  64,1
1st grade,1
400 500,1
 dir   dcr   dxr   fgd,1
ASCII,1
ILBM,1
116 5,1
October 30  2005,1
20 0,1
Automatic (GD ImageMagick)  also from video (ffmpeg),1
1 6 6 4 system   0 8 sideport,1
PBM,1
715,1
Parallels Desktop 9,1
9 (both),1
Lists all types of open (publicly accessible) proxies,1
Cells in the layout grid,1
Dots per pixel unit,1
Hosts that have sent spam to the admins of SORBS in the last 48 hours,1
 fff,1
PCD,1
GeForce 6600 GT,1
Used by Pixia,1
PCF,1
Foundation Stage 2,1
Foundation Stage 1,1
GRA,1
OpenEXR,1
Photochrome,1
8 9,1
portable arbitrary map file format,1
Radeon R9 M280X,1
 svg   svgz (compressed),1
character set promulgated by the Singaporean Ministry of Education,1
PCX,1
zombie dnsbl,1
2011,1
 692 billion (FY10) (1st by total expenditure  11th as percent of GDP),1
2010,1
Web of Science  Amazon  Google Scholar  Z39 50,1
2008,1
InterBase  Firebird   SQL Anywhere  NexusDB and MariaDB,1
HTTP  FTP using Image Files  Zip Files  Remote Upload,1
Language,1
730,1
alpha,1
Add element,1
PDN,1
E    F,1
Minnesota Supreme Court,1
2001 04 25,1
Lancaster,1
p iste leanbh,1
Teradata,1
fosgail,1
PEF,1
740,1
Alias Pix image,1
2016,1
show all data in some fields,1
PBASIC Stamp Editor,1
Uniform Resource Identifier,1
JPEG Network Graphics,1
Intelligent Image Quality RAW,1
 fig,1
E invalid drop,1
 fif,1
image x portable graymap,1
Third Street Software  Inc ,1
No  but there is a sync viewer in a menu,1
Community Edition   Apache License v2 0  Ultimate Edition  proprietary,1
Developer,1
Mobility Radeon X1300,1
Sailfish OS,1
Mobility Radeon 9700,1
1 6 12 8,1
 cadrg,1
HTTP one at a time or in batch  FTP  Windows XP Publishing Wizard  drag and drop (via extension),1
teach (nom acc)  tigh (dat)  Munster tigh,1
List table fields,1
Ordnance QF 25 pounder,1
Eclipse JDT IBM,1
Free Studio,1
Schematic capture   spice simulation,1
Contextual reference,1
XWD,1
Root,1
Duplicate link checker,1
Adobe Illustrator files are editable using programs that support the format  such as Adobe Illustrator  Inkscape  CorelDRAW  etc ,1
The Unauthorized Frog project,1
Services is free  Source data is from Honeypot Systems and over 515 User with 630 Servern there reports Attacks with Fail2Ban,1
NiX Spam (nixspam),1
PGF,1
1 1 Final (March 23  2012  3 years ago),1
Never Released,1
Sybase  InterBase Firebird  H2  HSQLDB,1
PGM,1
Taiwan,1
Feb 12  2012  Last modified timestamp on official download site is 01 02 2007 04 28 512012 ,1
Batter is generally out  In many recreational leagues  a batter is allowed one foul ball with two strikes  with the second being an automatic out ,1
2 0 5 27,1
c treeACE,1
TB Mk I,1
 3fr,1
Negation,1
CorelDRAW Document,1
29 October 2011,1
Permissive,1
5 November 2012,1
V4R5 V5R1 V5R2 V5R3,1
 BSD  Java,1
775,1
Used by Inkscape,1
Merit and contributions,1
779,1
Flash MP3 Player,1
psbl surriel com (also free available via rsync ),1
Wireless Application Protocol Bitmap Format,1
GeForce4 Go 488,1
dnsbl dronebl org,1
TLG6,1
TLG5,1
R350  R360,1
strike,1
menu,1
Present tense infinitive,1
16 32,1
0 9 7 1 (October 22  2005  9 years ago),1
9 1 0 4882 (2014 12 01),1
Degas,1
Metafile for Mac OS  not meant for print publishing ,1
XYZ,1
51 2,1
        i ,1
 fla,1
JDeveloper,1
Lists single IPs (no IP ranges) that send spam to spamtraps  Lists mailhosts  rather than domains  and thus blocks entire hosting providers and ISPs ,1
Delimits an XML data island inside an HTML page,1
ADRI,1
DOI lookup,1
ADRG,1
(indented with whitespace),1
integer,1
IP addresses detected as abusive at ISP's using MagicMail Servers  with no reverse DNS service,1
E nth last of type,1
 flw,1
Varies in lossless mode  supports 32 bit float input  2 2 minimum in lossy mode,1
Allocations with exceeded UCEPROTECT Level 1 listings,1
s5h net,1
RealTek RealTek RTL8187L B USB,1
Pre 1950s réalt(a)  reult(a) in Irish,1
GNU Affero General Public License (AGPLv3) Future  GNU Lesser General Public License with Contributor License Agreement,1
Compatible with ISO 12234 2  TIFF EP,1
Violations of regulations,1
Olympus,1
Windows  OS X,1
21 76  22 40,1
 xjt   xjtgz (compressed)   xjtbz2 (compressed),1
BASS audio library (decoder),1
Radeon 8500 LE,1
Iowa Supreme Court,1
SQuirreL SQL,1
Variant of TIFF up to and including version 6 0  proprietary as of 7 0 (1997),1
Radeon X850 XT PE,1
Intercept,1
 st n  teach tigh  sta,1
Desktop   Web components  integrated web search  enhanced PDF reader  iOS App,1
PLD,1
N column,1
AGPL3 or proprietary,1
2014 05 (v2 0 10805),1
NetMail,1
US 299 95,1
Photoshop Document,1
 wpg,1
image iges,1
8 GB,1
Google Talk,1
the viewport's width,1
Database Workbench,1
 oaz,1
Document scanning and imaging format  also functions as a container ,1
Heredis,1
Mozilla Firefox,1
HTTP  FTP  Flash  Java,1
Intel Wireless WiFi Link 4965AGN,1
2008 08,1
PMP,1
147 2,1
2008 06,1
February 17  2005,1
Varies  under a month  self removal via Composite Blocking List lookup ,1
No but planned to be added in future,1
Type 95,1
POTI Inc ,1
Discontinued,1
Windows Firewall,1
Greenplum Database,1
Ported from NetBSD,1
Likely expired,1
oscail,1
Hosts reported as being incorrectly located may be delisted ,1
9 10,1
PNM,1
Embedded Antivirus,1
32 16,1
 fpx,1
3D Rage II,1
Windows 98 Second Edition,1
Vermont Supreme Court,1
Mobility Radeon 7000,1
 stx   st4   st5   st6   st7   st8   st9,1
'to keep it',1
320 20 8,1
SRN SurGATE Reputation Network,1
 ima team,1
320 20 4,1
3276 8,1
September 1996,1
meta,1
FTP  FTPS  SFTP  HTTPS web client  IPv6  SOAP based web services API  Windows Active Directory   LDAP authentication  HTTP   HTTPS remote administration  public key and client certificate authentication,1
2012 04 03,1
Fugu,1
Used by some old Japanese applications ,1
mant  lo,1
réalt(a),1
SM 79,1
By default PLAIN and LOGIN over SSL only  Certificates  bsd_auth and PAM  Supports adding new authentication mechanisms through custom backends ,1
AutoCAD DXF,1
list marker,1
 ar (irar),1
All in one abusive hosts blacklist,1
PPM,1
 odg,1
Pentax,1
First year Junior,1
Hollerith notation,1
Weighted Private Block List,1
RATSDYNA,1
FTP  FTPS  WebDAV and WebDAV over SSL (FTPS is supported in IIS 7 and later),1
Menu list,1
750 MB (SSD drive Recommended),1
Paint Shop Pro Document,1
Supports X 509 PKI auth via STARTTLS and EXTERNAL  Uses Cyrus SASL authentication library for support for other mechanisms  Berkeley DB  GDBM  or NDBM (sasldb)  PAM  MySQL  PostgreSQL  SQLite  LDAP  Active Directory(LDAP)  DCE  Kerberos 4 and 5  proxied IMAP auth  getpwent  shadow  SIA  Courier Authdaemon  httpform  APOP and SASL mechanisms  ANONYMOUS  CRAM MD5  DIGEST MD5  EXTERNAL  GSSAPI  LOGIN  NTLM  OTP  PASSDSS  PLAIN  SRP,1
Firefox addon,1
 100 ms,1
4 3 9,1
phpLiteAdmin,1
After,1
Transitioning between images,1
Used by QSV and QLD ,1
ALFTP,1
Outbound streaming,1
TIFF like container format with HDR encoding for photographic images,1
Fort class,1
Xar,1
March   August 2011,1
inside,1
M5 Half track,1
 NET,1
Vincent Spader,1
Listings can be challenged   Subscribers vote to decide sender status ,1
PSD,1
Third party   PocketBib,1
RSX(PS3),1
raidi ,1
Kilohertz,1
1 464 2 928,1
GeForce 6200,1
PSP,1
Oracle SQL Developer,1
RemObjects Software,1
E attr  value  ,1
16 8,1
42 75,1
PLAIN  LOGIN  CRAM MD5  DIGEST MD5  Active Directory  any LDAP compatible source,1
Clementine Team,1
 wfx  fxs  fxo,1
Listed until removed  and reverse DNS configured,1
ALaRI Institute,1
Contains (space separated),1
High IP network aggregate threshold    254 ,1
net2ftp,1
2005 08,1
December 4  2008,1
Empty,1
E local link,1
PTX,1
Mailsite,1
2005 01,1
Radeon X300 SE,1
 fxt,1
WebTV  HTML 3 0,1
Personal bar  speed dial  notes  typed browser history  content blocker list,1
North Dakota Supreme Court,1
30 72,1
2013 10 29 (2 0 48),1
Mobility Radeon X1350,1
Remote controllable,1
Also foscail in Ulster Irish,1
Pitcairn,1
A  and TXT records are available for each entry  Removal is free after 30 days for automatic additions and after 7 days for manual additions  otherwise removal fee is at least EUR 10 00 ,1
Supported by Xfig,1
Partial Adware,1
E in range,1
comment,1
network transparent  XML SGML bibliographies,1
Flash Gallery,1
Aggregate RHS zones,1
PICtor,1
HT  FSB,1
Magick Scripting Language,1
(Generic),1
 xcf   xcfbz2 (compressed)   xcfgz (compressed),1
Sept  9  2003,1
Flash Source File,1
Supreme Court of Missouri,1
Dependent on game  video and Windows environment ,1
EPSON,1
SoftDent,1
eDirectory  Any LDAPv3 compliant source,1
6th grade,1
3DFX,1
JCreator,1
Desktop and iPad  centralized backup synching,1
Radeon 9700,1
Aqualung,1
Yes (GreyWall extension),1
Entis Rasterized Image format,1
RS200 (wilma),1
2 6 4   Jan 19  2015,1
Dec  7  2006,1
 icns,1
E valid,1
PXA,1
Visualizer,1
Opera,1
FTP  FTPS  supports autoban  speedlimits  IP Filter  Groups  Shared folders  compression ,1
 raw   rw2,1
Infants reception,1
October 1  2003,1
Idaho Supreme Court,1
Legend,1
image x jng,1
Empathy,1
Tag Image File Format   Electronic Photography,1
 cmyka,1
Dec 2001,1
Microsoft Excel  Microsoft Power BI,1
Pre 1950s ughdar s in Irish,1
block dnsbl sorbs net,1
naidheachd,1
Venus XTX,1
Yes (NV41  NV42 only),1
Offline Cubes,1
event,1
Seattle File Works,1
bl spamcop net,1
Kodak ImagePac Photo CD,1
N last child of type,1
June 2000,1
Adam Olsen,1
image jp2,1
IP addresses which have been used to transmit reported email to SpamCop users,1
Myd format,1
Adds whitespace in a layout,1
Project Team DoGA,1
Jun 2004,1
nowrap,1
bl spamcannibal org,1
E default,1
Beno t Minisini,1
E column(selector),1
2009 08 31,1
webbased UI,1
Heredis Mac,1
im4,1
Lower sixth (AS),1
320    ,1
Radiance,1
rgb(r  g  b),1
District of Columbia Council Chairman,1
Sony RAW File,1
caption  div  fieldset  h1  h2  h3  h4  h5  h6  hr  img  input  legend  p  object  table,1
GeForce Go 7400,1
TokuTek,1
Spam samples are always kept on file for each listing  Removal requests are manually reviewed and processed without fees ,1
11 1 2 4,1
Sd Kfz  251,1
6 16 16 16,1
E foo  bar  i ,1
2014 02 27 (1 2 2),1
image awd,1
 xar,1
1 2 3 (March 8  2014  14 months ago),1
JPEG (JFIF),1
E current(s),1
     ,1
PRISM GT 802 11b g,1
Personal Ancestral File,1
Radeon X800 GTO 128MB,1
Akagi,1
Yes in    12 16,1
Jun 2005,1
GMC 2 1 2 ton,1
ilayer,1
ZWNJ and ZWJ (Unicode characters used for ligature control),1
8 8cm Flak 41,1
RS 274X Extended Gerber Format,1
Ipswitch IMail Server,1
UCEPROTECT Level 3,1
Radeon 9200 SE,1
UCEPROTECT Level 2,1
UCEPROTECT Level 1,1
Amazon com,1
VMware Fusion,1
 y   ,1
 orf,1
Supreme Court of Louisiana,1
expiration time increases to many weeks as the fraction of IP addresses in the  24 block in question sending junk mail increases,1
 ora,1
Pentax RAW Bitmap Graphic,1
4 6 3 4 (August 31  2010  4 years ago),1
Ucamco,1
Automatic expiration 7 days after the last abuse was seen  optionally express delisting for a small fee ,1
JPEG LS,1
Equals,1
zlib,1
PHP (Joomla)  MySQL,1
application futuresplash,1
Tiny Stuff,1
application dicom,1
Cubes (OLAP server),1
Colin Walters,1
Type 92 70mm,1
Open Dental,1
National Electrical Manufacturers Association,1
JVM  Mono  Cocoa  Cocoa Touch,1
String,1
Navicat,1
Tryton,1
PICT,1
colwiz Ltd,1
rad,1
Digital Geek LTD,1
Past,1
ral,1
April 4  2005,1
Feb 2001,1
BlackBerry 10,1
Feb 2004,1
Damian Pietras,1
Yes resize  sharpen  crop  rotate,1
         u    o ,1
ES 1 1 w Cg,1
Generally not allowed  although some levels may permit stealing after a pitched ball crosses the plate or touches the ground ,1
PIC2,1
GeForce 6800,1
ipw,1
Mobility Radeon X1800,1
Author,1
Oberon microsystems,1
E first child,1
Orbada,1
safe dnsbl,1
FLIC,1
Automatic  large spamtraps  production mail servers and other detecton methods ,1
will receive the item,1
Ebooks can be emailed to an auto generated Amazon email address,1
Radeon 9550 SE,1
eMule and its Mods,1
Powerflasher FDT,1
Allowed ,1
Supreme Court of Mississippi,1
The value of the color property ,1
self removal (see spamhaus web site),1
0  ,1
No built in cache disk cache but a delayed sync,1
ZeroBrane Studio,1
MS Access  DB2  FoxPro  Informix  Ingres  Sybase  Teradata,1
PSX TIM2,1
21 0,1
Delete table,1
  i  ,1
ZIS 42,1
3 3 CANDIDATE   April 9  2011,1
E only of type,1
2 July 2014,1
Use Spamhaus XBL or Spamhaus Zen instead  they include CBL ,1
GPL2 or proprietary,1
APP5 CPKT Format,1
8th grade,1
Also  cainnt in Scottish Gaelic  Bru on (formerly bruighean) in Irish means  fighting    quarrelling ,1
Apache James,1
3D Rage,1
Radeon Xpress X1250,1
Mamiya RAW,1
Ancestor charts,1
5 7 7 8,1
controls,1
Yes (since version 2 0 5),1
refdb developers,1
8  11 025  16  22 05  32  44 1  48  88 2  96 kHz,1
 srf   sr2,1
 ycbcra,1
MyISAM,1
Used mainly for storing image manipulation   editing data ,1
Supreme Court of Appeals of West Virginia,1
Proprietary (core)  BSD (SDK),1
rem,1
MiG 3,1
L 70 40mm,1
IWIDarwin,1
Springer,1
MS DOS 8 0,1
the font size of the root element,1
Shareaza,1
SQL Database Studio,1
Mozilla Foundation,1
WinSCP,1
Family Tree Maker (Windows),1
isteach,1
YUV,1
Dronebl,1
E class,1
16  20  24  32,1
Flat circle  radius of 8 feet (2 4 m)  marked with a white chalk circle,1
Inherited from the parent,1
Soldati class,1
Size of association,1
1 00,1
XtraDB,1
 gih,1
 ai,1
E not(),1
Radeon Xpress X1200,1
855,1
Software license,1
1988 (Mac)   1983 (Apple II ),1
spam dnsbl sorbs net,1
 rgba,1
No firmware required,1
Request by host,1
1 16   October 25  2011,1
E has(s1),1
8 12 12 12,1
GeForce FX Go 5200,1
E required,1
E after,1
BitLocker Drive Encryption,1
7 360,1
2 0 7,1
2 0 4,1
GeForce4 MX4000,1
BibDesk developers,1
Kodak YCC,1
 blend,1
BL 5 5 inch,1
Palringo,1
GeForce4 MX440 SE,1
iwi,1
iwk,1
Marconi class,1
CrushFTP Server,1
Casio RAW,1
zyd,1
freedesktop org,1
Passwords,1
The ball remains live  If the batter does not swing  the pitch is automatically a ball ,1
caption,1
Atmail,1
Object Arts,1
lo mantienen,1
RGBA,1
Automated listing through crawling of websites,1
The Inkscape Team,1
RGBE,1
bliadhna,1
Platforms,1
Mark Grimshaw,1
Used by Dia ,1
256 512,1
Aug 2002,1
880,1
Gapless audio decoding,1
refbase developers,1
WizPatent,1
 BSD  Windows  Linux  Mac,1
888,1
Intel PRO Wireless 2100,1
XHTML 1 0 Transitional,1
2014 08 11 (1 6 3),1
application pld,1
DB2  Sybase,1
 xml,1
E valid drop,1
Displays preformatted text,1
Apr  1  2005,1
Flash Professional,1
Brittany,1
isindex,1
ODBC  web access in Pro ed  optional client server,1
No  no known intellectual property encumbrances or license requirements,1
Yes Symantec,1
QuickTime Image,1
Mobility Radeon 9800,1
E lang(zh    hant),1
Bayesian filters,1
 g3,1
IceWarp Mail Server,1
2010 04,1
Focused,1
Insert an applet,1
E nth last column(n),1
Image Cytometry Standard,1
E any link,1
Betty,1
2014 05 11,1
 NET  ExtJS JavaScript,1
Commander in Chief President Barack Obama  Secretary of Defense Ashton Carter  Chairman of the Joint Chiefs of Staff Admiral Michael Mullen,1
Antilogic Software,1
Subscribing to a project allows to view and post on its content stream  Patreon allows to set a monthly maximum to avoid going over a set budget ,1
AV Foundation   QuickTime,1
Firebird  HSQL  InterBase  Derby all with JDBC driver,1
SmartView (Excel AddIn)  WebAnalysis  Financial Reports,1
AT T Research,1
Xcode (Apple),1
Tencent QQ,1
Fractal Image Format,1
RV100,1
Venus Pro,1
2015 04 23,1
image pcf,1
1 68,1
Create table,1
Proprietary  free compiler,1
Imperative,1
In range,1
Firefox Sync,1
OS 2 Metafile Format,1
Radeon R9 M375,1
to have gone,1
SpamCannibal,1
nuacht  Ulster nuaidheacht,1
var(   ),1
Used in film effects for 3d rendering and hdr images ,1
 orange (255  128  0) ,1
Alex Aranda et al ,1
SQLyog,1
border,1
cnatan,1
2 088,1
Mac OS X,1
nomail rhsbl sorbs net,1
    ,1
E first of type,1
ca com,1
E attr   value  ,1
Python (GTK) PyGTK,1
 hg,1
dotPDN LLC,1
Used by NetFax Manager,1
Automated  de listing ,1
Oregon Supreme Court,1
TM1 Web TM1 Contributor  IBM Cognos Insight  IBM Cognos Cafe for Excel,1
 pam,1
Scientist Group,1
ARC Digitized Raster Images,1
MAKIchan Graphic loader,1
 e        ,1
Optional Kaspersky Lab,1
Greylisting,1
radial gradient,1
clipboard  embeddable HTML widget  RSS,1
 pbm,1
ZSoft Corporation,1
Class browser  Errors  Symbols,1
Rhode Island Supreme Court,1
 pcs,1
Third party with automated additions,1
7 42 1 (April 29  2015  43 days ago     ),1
2004 06 03,1
Not awarded first base ,1
0 5,1
Radeon X300 LE,1
5247,1
0 6,1
Radeon SDR 7200,1
Pluggable Authentication Modules GSSAPI  CRAM MD5  DIGEST MD5  APOP  PLAIN  LDAP  CMU SASL library  Kerberos,1
0 9,1
 gra,1
E  F,1
Visited hyperlink,1
reversed,1
WinRT,1
2013 07 (v3),1
ANIM,1
escalations dnsbl,1
5 113 warhead (ranked 2nd ),1
1 65  (2011 est ),1
MediaMonkey Lifetime,1
FTP  FTPS  SFTP  SCP  HTTP  HTTPS  Windows Active Directory authentication  SQL authentication  groups  virtual file system  process e mail events  protocol conversion for back end servers  SSH tunnelling   file sharing (via client app)  web app hosting via   server side Javascript  remote administration  public key and client certificate authentication  Plugin API ( NET)  fail over   load balancing,1
 pdn,1
 pcx   pcc   dcx,1
21 March   15 July 2011,1
Duplicate Link Checker,1
Supreme Court of Pennsylvania,1
marquee,1
2014 05 19 (0 5 1),1
SQL Server  Oracle  MySQL  PostgreSQL  DB2  DB2 zOS  MS Access,1
Gambas,1
Data is encrypted on the client and not accessible even to Mozilla server operators ,1
 pef,1
RS740 (titan),1
2006 01,1
Kansas Supreme Court,1
Same rules as for base stealing ,1
Enhanced Compressed Wavelet,1
Fan charts,1
eDonkey2000,1
Yak,1
R3D,1
Masahide Hirabayashi,1
hsla(h  s  l  a),1
Nursery,1
all s5h net,1
GeForce 6800 Ultra,1
 Safe  Aggregate zone (all zones in dnsbl sorbs net except  recent  and  escalations ),1
plugin for Google Maps or plugin for OpenStreetMap,1
Class browser  Systems  Definitions,1
8 0 (only mobile),1
Microsoft Academic  Google Scholar,1
arn,1
Describe,1
unAPI,1
Radeon 9200,1
Repeat n times,1
hsl(h  s  l),1
ZDT,1
bordercolor,1
 p2,1
ICO,1
rtw,1
 webp,1
ICQ,1
 pgf,1
CommuniGate Pro,1
ICS,1
Has,1
Bonaire,1
socks dnsbl,1
ministear,1
17 2,1
 pgm,1
17 1,1
17 0,1
Warspite,1
Composite Blocking List,1
XE8   April 7  2015,1
4 June 2014,1
image gif,1
Consists of the Composite Blocking List,1
Olympus RAW,1
PostgreSQL License,1
 q0,1
 q4,1
ath,1
MAJYO,1
 Net,1
Distributed Realtime Blocking List,1
E attr   value  ,1
Aug  29  2006 (Intel)  Feb  28  2007 (AMD),1
atu,1
Nebraska Supreme Court,1
5 1 SR4,1
 pi,1
Axigen,1
 page right,1
b thar r d,1
Federated,1
Ray class,1
Sep 2004,1
Radeon X850 XT CrossFire Master,1
2013 06 12,1
Radeon Xpress 1150 (originally Xpress 200 for Intel),1
G73 N B1,1
spacer,1
Class,1
until removal requested and matter resolved by changing server DNS ptr record to a non generic name ,1
 xyz,1
rwd,1
Used by many 2D applications ,1
contrast(),1
SURBL,1
lists  24 blocks of IP addresses which usually only send UBE and containing at least several addresses which are confirmed emitters of junk mail  Collateral listings are kept to a minimum because subsections are often carved from  24 listings when spammers and legit senders share the same  24 block ,1
Yes (group based),1
Delete database,1
Suggestion to replace JPEG  JavaScript decoder available,1
SYSTEMAX,1
rwn,1
MCP67M,1
GUI and CLI,1
blur(),1
Hilfskreuzer,1
Truevision Targa,1
Xara,1
Automatic expiry (varies by type)  webpage allows delisting,1
2 0 24 1 signed (May 18  2015  24 days ago),1
cbl abuseat org  (also free available rsync access  on request see FAQ ),1
SAS Institute,1
Radeon R7 M265,1
Features,1
kHz,1
Martin P ikryl,1
Yes  in G2,1
Radeon R7 M260,1
Favicon,1
BlitzDB,1
Nov 2004,1
Momentum,1
Nov 2005,1
 pld,1
E  after,1
target,1
Fourth year Junior,1
Dots per centimetre,1
db wpbl info,1
Hostkarma,1
Atheros Atheros 9000,1
scoil,1
First letter,1
zen spamhaus org,1
 sk,1
User defined      geobl spamanalysis org,1
Manual,1
March   April 2011,1
Fabrice Bellard,1
