Matrice;featConformRatio
Comparison_of_programming_languages_(string_functions)   right;100
Comparison_of_programming_languages_(string_functions)   rpartition;100
Comparison_of_programming_languages_(string_functions)   rpartition;50
Comparison_of_programming_languages_(string_functions)   split;100
Comparison_of_programming_languages_(string_functions)   split;100
Comparison_of_programming_languages_(string_functions)   Compare (relational operator based  Boolean result);50
Comparison_of_programming_languages_(string_functions)   substring;50
Comparison_of_programming_languages_(string_functions)   substring;100
Comparison_of_programming_languages_(string_functions)   Uppercase;100
Comparison_of_programming_languages_(string_functions)   Uppercase;40
Comparison_of_programming_languages_(string_functions)   trim;100
Comparison_of_programming_languages_(string_functions)   Compare (relational operator based  Boolean result);100
Comparison_of_programming_languages_(string_functions)   Concatenation;50
Comparison_of_programming_languages_(string_functions)   Concatenation;42
Comparison_of_programming_languages_(string_functions)   Contains;100
Comparison_of_programming_languages_(string_functions)   Contains;26
Comparison_of_programming_languages_(syntax)    Statements ;66
Comparison_of_programming_languages_(syntax)    Inline comments ;100
Comparison_of_programming_languages_(syntax)    Block comments ;5
Comparison_of_programming_languages_(syntax)    Comment comparison ;80
Comparison_of_programming_languages   General comparison;72
Comparison_of_programming_languages   Type systems;89
Comparison_of_programming_languages   Failsafe I O and system calls;50
Comparison_of_programming_languages   Expressiveness;100
Comparison_of_programming_paradigms    Main paradigm approaches ;100
Comparison_of_programming_paradigms    Pseudocode examples comparing various paradigms ;50
Comparison_of_project_management_software   General information;66
Comparison_of_project_management_software   Features;100
Comparison_of_project_management_software   Monetary features;100
Comparison_of_Prolog_implementations   Main features;100
Comparison_of_Prolog_implementations   Operating system and Web related features;50
Comparison_of_Prolog_implementations   Static analysis;77
Comparison_of_Prolog_implementations   Optimizations;77
Comparison_of_proxifiers    General ;100
Comparison_of_proxifiers   Platforms;100
Comparison_of_proxifiers   Proxy protocols and methods;100
Comparison_of_PSA_systems;100
Comparison_of_pumps   Direct lift devices;83
Comparison_of_pumps   Displacement pumps;83
Comparison_of_pumps   Velocity pumps;83
Comparison_of_pumps   Buoyancy pumps;83
Comparison_of_pumps   Impulse pumps;83
Comparison_of_PVR_software_packages   General information;100
Comparison_of_PVR_software_packages   Digital Personal Video Recorder (DVR PVR) features;84
Comparison_of_PVR_software_packages   Video format support;66
Comparison_of_PVR_software_packages    Network support ;75
Comparison_of_radio_systems   Table;75
Comparison_of_raster to vector_conversion_software    General information ;100
Comparison_of_raster to vector_conversion_software    Basic features ;100
Comparison_of_raster to vector_conversion_software    AutoCAD features ;100
Comparison_of_raster to vector_conversion_software    Raster editing features ;100
Comparison_of_raster to vector_conversion_software    Vector editing features ;100
Comparison_of_raster_graphics_editors    List ;50
Comparison_of_raster_graphics_editors    List ;100
Comparison_of_raster_graphics_editors    General information ;100
Comparison_of_raster_graphics_editors    Operating system support ;100
Comparison_of_raster_graphics_editors    Features ;92
Comparison_of_raster_graphics_editors    Color spaces ;100
Comparison_of_raster_graphics_editors    File support ;100
Comparison_of_reference_management_software    General ;100
Comparison_of_reference_management_software    Operating system support ;100
Comparison_of_reference_management_software    Export file formats ;85
Comparison_of_reference_management_software    Import file formats ;92
Comparison_of_reference_management_software    Citation styles ;85
Comparison_of_reference_management_software    Reference list file formats ;100
Comparison_of_reference_management_software    Word processor integration ;66
Comparison_of_reference_management_software    Database connectivity ;100
Comparison_of_reference_management_software   Password  protection  and network versions;100
Comparison_of_regular_expression_engines   Libraries;68
Comparison_of_regular_expression_engines   Languages;100
Comparison_of_regular_expression_engines   Part 1;50
Comparison_of_regular_expression_engines   Part 2;90
Comparison_of_regular_expression_engines   API features;40
Comparison_of_relational_database_management_systems   General information;100
Comparison_of_relational_database_management_systems   Operating system support;91
Comparison_of_relational_database_management_systems   Access control;91
Comparison_of_relational_database_management_systems   Fundamental features;85
Comparison_of_relational_database_management_systems   Limits;91
Comparison_of_relational_database_management_systems   Tables and views;100
Comparison_of_relational_database_management_systems   Indices;83
Comparison_of_relational_database_management_systems   Database capabilities;100
Comparison_of_relational_database_management_systems   Data types;90
Comparison_of_relational_database_management_systems   Other objects;57
Comparison_of_relational_database_management_systems   Partitioning;83
Comparison_of_research_networking_tools_and_research_profiling_systems    General ;80
Comparison_of_research_networking_tools_and_research_profiling_systems    Data Sources  Ingest and Export Formats ;40
Comparison_of_research_networking_tools_and_research_profiling_systems    Data Interoperability and Integration ;60
Comparison_of_research_networking_tools_and_research_profiling_systems    Users Profiled  User Interactivity and Networking Functionality ;80
Comparison_of_research_networking_tools_and_research_profiling_systems    Controlled Vocabulary  Ontologies and Author Disambiguation ;50
Comparison_of_research_networking_tools_and_research_profiling_systems    Bibliometrics ;77
Comparison_of_S M A R T _tools;72
Comparison_of_Scottish_Gaelic_and_Irish   Orthographic differences;100
Comparison_of_Scottish_Gaelic_and_Irish   Differences in vocabulary;100
Comparison_of_Scottish_Gaelic_and_Irish   Differences in vocabulary;100
Comparison_of_Solaris_distributions    General ;100
Comparison_of_Solaris_distributions   Technical;66
Comparison_of_Solaris_distributions   Package management and installation;100
Comparison_of_Solaris_distributions   Live media;85
Comparison_of_Sony_Vaio_laptops   Sony Vaio S Series;100
Comparison_of_Sony_Vaio_laptops   Sony Vaio C Series;100
Comparison_of_Sony_Vaio_laptops    Sony Vaio E Series ;100
Comparison_of_Sony_Vaio_laptops    Sony Vaio Z Series ;50
Comparison_of_Sony_Vaio_laptops    Sony Vaio F Series ;100
Comparison_of_Sony_Vaio_laptops    Sony Vaio L Series ;50
Comparison_of_Sony_Vaio_laptops    Sony Vaio J Series ;100
Comparison_of_SSH_clients   General;100
Comparison_of_SSH_clients   Platform;87
Comparison_of_SSH_clients   Technical;83
Comparison_of_SSH_clients   Features;92
Comparison_of_SSH_servers   General;90
Comparison_of_SSH_servers   Platform;88
Comparison_of_SSH_servers   Features;90
Comparison_of_Subversion_clients    Subversion clients comparison table ;100
Comparison_of_Subversion_clients    Standalone Subversion clients comparison table ;100
Comparison_of_Symbian_devices;100
Comparison_of_Texas_Instruments_graphing_calculators;90
Comparison_of_Texas_Instruments_graphing_calculators    Programming language support ;75
Comparison_of_TeX_editors   Table of editor properties;92
Comparison_of_TLS_implementations    Overview ;87
Comparison_of_TLS_implementations    Protocol support ;12
Comparison_of_TLS_implementations    Supported elliptic curves ;93
Comparison_of_TLS_implementations    Supported elliptic curves ;93
Comparison_of_TLS_implementations    Data integrity ;28
Comparison_of_TLS_implementations    Compression ;50
Comparison_of_TLS_implementations    Extensions ;71
Comparison_of_TLS_implementations    Assisted cryptography ;100
Comparison_of_TLS_implementations    System specific backends ;80
Comparison_of_TLS_implementations    Cryptographic module token support ;100
Comparison_of_TLS_implementations    Code dependencies ;66
Comparison_of_TLS_implementations    Development environment ;83
Comparison_of_TLS_implementations    NSA Suite B Cryptography ;50
Comparison_of_TLS_implementations    Portability concerns ;87
Comparison_of_TLS_implementations    Certifications ;75
Comparison_of_TLS_implementations    Key exchange algorithms (certificate only) ;20
Comparison_of_TLS_implementations    Key exchange algorithms (alternative key exchanges) ;36
Comparison_of_TLS_implementations    Certificate verification methods ;85
Comparison_of_TLS_implementations    Encryption algorithms ;80
Comparison_of_TLS_implementations    Obsolete algorithms ;76
Comparison_of_TLS_implementations    Supported elliptic curves ;92
Comparison_of_Toyota_hybrids;64
Comparison_of_Tryton_and_Open_ERP   Business model;100
Comparison_of_Tryton_and_Open_ERP   Functionality;100
Comparison_of_Tryton_and_Open_ERP   Concepts and approach;83
Comparison_of_Tryton_and_Open_ERP   More;86
Comparison_of_U S _state_governments   Legislative;100
Comparison_of_U S _state_governments    Supermajority requirements ;100
Comparison_of_U S _state_governments   Executive;100
Comparison_of_U S _state_governments   Judicial;100
Comparison_of_Unicode_encodings   Eight bit environments;33
Comparison_of_Unicode_encodings   Seven bit environments;12
Comparison_of_Unicode_encodings    Bit environments ;28
Comparison_of_United_Kingdom_and_United_States_military_ranks    UK and US officer ranks compared ;57
Comparison_of_United_Kingdom_and_United_States_military_ranks   US  Enlisted  and UK  Other  ranks compared;10
Comparison_of_United_States_presidential_candidates _2008    Candidates ;94
Comparison_of_United_States_presidential_candidates _2008    Biographical data ;71
Comparison_of_United_States_presidential_candidates _2008   Transportation;75
Comparison_of_United_States_presidential_candidates _2008   Labor;50
Comparison_of_United_States_presidential_candidates _2008   Monetary policy;50
Comparison_of_United_States_presidential_candidates _2008   NASA and space exploration;50
Comparison_of_United_States_presidential_candidates _2008   Arab Israeli conflict;75
Comparison_of_United_States_presidential_candidates _2008   Iraq;50
Comparison_of_United_States_presidential_candidates _2008   Iran;75
Comparison_of_United_States_presidential_candidates _2008   Darfur;75
Comparison_of_United_States_presidential_candidates _2008   Nuclear weapons;75
Comparison_of_United_States_presidential_candidates _2008   North Korea;50
Comparison_of_United_States_presidential_candidates _2008   Tax policy;15
Comparison_of_United_States_presidential_candidates _2008   Pakistan;75
Comparison_of_United_States_presidential_candidates _2008   Extrajudicial prisoners;75
Comparison_of_United_States_presidential_candidates _2008   Armenian genocide;50
Comparison_of_United_States_presidential_candidates _2008   China;50
Comparison_of_United_States_presidential_candidates _2008   Foreign aid;50
Comparison_of_United_States_presidential_candidates _2008   Georgia;50
Comparison_of_United_States_presidential_candidates _2008   United Nations;50
Comparison_of_United_States_presidential_candidates _2008   The environment;50
Comparison_of_United_States_presidential_candidates _2008   Energy;50
Comparison_of_United_States_presidential_candidates _2008   Judiciary;50
Comparison_of_United_States_presidential_candidates _2008   Financial crisis and bailout;66
Comparison_of_United_States_presidential_candidates _2008   Same sex marriage;50
Comparison_of_United_States_presidential_candidates _2008   Abortion;50
Comparison_of_United_States_presidential_candidates _2008   Gun control;50
Comparison_of_United_States_presidential_candidates _2008    Death penalty ;50
Comparison_of_United_States_presidential_candidates _2008   Immigration;50
Comparison_of_United_States_presidential_candidates _2008   Racial justice;75
Comparison_of_United_States_presidential_candidates _2008   Federal funding for embryonic stem cell research;75
Comparison_of_United_States_presidential_candidates _2008   Education;50
Comparison_of_United_States_presidential_candidates _2008   Patriot Act;75
Comparison_of_United_States_presidential_candidates _2008   Trade;50
Comparison_of_United_States_presidential_candidates _2008   Health care;50
Comparison_of_United_States_presidential_candidates _2008   Taxation and budget deficit;50
Comparison_of_United_States_presidential_candidates _2008   Social Security;50
Comparison_of_United_States_presidential_candidates _2008   Network neutrality;75
Comparison_of_United_States_presidential_candidates _2008   Lobbying;75
Comparison_of_UPnP_AV_media_servers;93
Comparison_of_Usenet_newsreaders;87
Comparison_of_US_and_Chinese_Military_Armed_Forces   Table comparison between the US and Chinese Military as for 2011;100
Comparison_of_Vector_Formats_(GIS)   General information;100
Comparison_of_Vector_Formats_(GIS)   Feature Types;100
Comparison_of_VMware_Fusion_and_Parallels_Desktop   Features;100
Comparison_of_VMware_Fusion_and_Parallels_Desktop   Minimum system requirements;100
Comparison_of_VMware_Fusion_and_Parallels_Desktop   2009 Benchmark tests;50
Comparison_of_VMware_Fusion_and_Parallels_Desktop   2009 Benchmark tests;100
Comparison_of_VoIP_software    General softphone clients ;100
Comparison_of_VoIP_software    Mobile phones ;100
Comparison_of_VoIP_software    Frameworks and libraries ;87
Comparison_of_VoIP_software    Server software ;87
Comparison_of_WebSocket_implementations;60
Comparison_of_web_server_software   Overview;94
Comparison_of_web_server_software   Features;80
Comparison_of_web_server_software   Operating system support;83
Comparison_of_Windows_Vista_and_Windows_XP   Security;100
Comparison_of_World_War_I_tanks   Tanks used in World War I;61
Comparison_of_World_War_I_tanks   Immediate post war tanks;100
Comparison_of_XML_editors;52
Comparison_of_XMPP_server_software    Comparison by RFC implementation status ;92
Comparison_of_XMPP_server_software    Comparison by XEP implementation status ;92
Comparison_of_X_window_managers;90
Comparison_of_X_Window_System_desktop_environments    Overview ;100
Comparison_of_X_Window_System_desktop_environments    Default programs packaged ;95
Comparison_of_YouTube_downloaders    Features ;100
Comparison_of_YouTube_downloaders    Inbuilt conversion to formats and devices ;100
Comparison_of_YouTube_downloaders    Supported operating systems ;100
Comparison_of_Nikon_DSLR_cameras;95
List_of_AMD_graphics_processing_units    Wonder Series ;87
List_of_AMD_graphics_processing_units    Mach Series ;87
List_of_AMD_graphics_processing_units    AGP (X7xx  X8xx) ;100
List_of_AMD_graphics_processing_units    PCI E (X7xx  X8xx) ;100
List_of_AMD_graphics_processing_units    IGP (X12xx  21xx) ;100
List_of_AMD_graphics_processing_units    Radeon R500 (X1xxx) Series ;100
List_of_AMD_graphics_processing_units    Radeon HD 2xxx ;88
List_of_AMD_graphics_processing_units    Radeon HD 3xxx ;88
List_of_AMD_graphics_processing_units    IGP (HD 3xxx) ;93
List_of_AMD_graphics_processing_units    All In Wonder Series ;100
List_of_AMD_graphics_processing_units    Radeon R700 (HD 4xxx) Series ;88
List_of_AMD_graphics_processing_units    IGP (HD 4xxx) ;93
List_of_AMD_graphics_processing_units    Rage Series ;100
List_of_AMD_graphics_processing_units    Evergreen (HD 5xxx) Series ;88
List_of_AMD_graphics_processing_units      anchor Northern Islands (HD 6xxx) Series  Radeon HD 6xxx Series ;88
List_of_AMD_graphics_processing_units    IGP (HD 6xxx) ;83
List_of_AMD_graphics_processing_units      anchor Southern Islands (HD 7xxx) Series  Radeon HD 7xxx Series ;88
List_of_AMD_graphics_processing_units    IGP (HD 7xxx) ;91
List_of_AMD_graphics_processing_units      anchor Sea Islands (HD 8xxx) Series  Radeon HD 8xxx Series ;88
List_of_AMD_graphics_processing_units      anchor Volcanic Islands (Rx 2xx) Series  Radeon Rx 2xx Series ;90
List_of_AMD_graphics_processing_units      anchor Rx 3xx Series  Radeon Rx 3xx Series ;89
List_of_AMD_graphics_processing_units      anchor Pirate Islands (Rx 4xx) Series  Radeon Rx 4xx Series ;90
List_of_AMD_graphics_processing_units    Rage Mobility Series ;92
List_of_AMD_graphics_processing_units    Radeon R100 (7xxx) Series ;100
List_of_AMD_graphics_processing_units    Mobility Radeon Series ;100
List_of_AMD_graphics_processing_units    Mobility Radeon X300  X600  X700  X800 Series ;100
List_of_AMD_graphics_processing_units    Mobility Radeon X1xxx Series ;100
List_of_AMD_graphics_processing_units    Mobility Radeon HD 2xxx Series ;93
List_of_AMD_graphics_processing_units    Mobility Radeon HD 3xxx Series ;93
List_of_AMD_graphics_processing_units    Mobility Radeon HD 4xxx Series ;93
List_of_AMD_graphics_processing_units    Mobility Radeon HD 5xxx Series ;87
List_of_AMD_graphics_processing_units    Radeon HD 6xxxM Series ;94
List_of_AMD_graphics_processing_units    IGP (HD 6xxx) ;83
List_of_AMD_graphics_processing_units    IGP (HD 6xxxG) ;90
List_of_AMD_graphics_processing_units    IGP (3xx Series) ;100
List_of_AMD_graphics_processing_units    Radeon HD 7xxxM Series ;93
List_of_AMD_graphics_processing_units    Radeon HD 8xxxM Series ;100
List_of_AMD_graphics_processing_units    Radeon Rx M2xx Series ;100
List_of_AMD_graphics_processing_units    Radeon Rx M3xx Series ;100
List_of_AMD_graphics_processing_units    FireGL Series ;92
List_of_AMD_graphics_processing_units    FirePro 3D Series ;93
List_of_AMD_graphics_processing_units    FirePro Series ;92
List_of_AMD_graphics_processing_units    FirePro Workstation Series (Wx000) ;92
List_of_AMD_graphics_processing_units    FirePro Workstation Series (Wx100) ;92
List_of_AMD_graphics_processing_units    FirePro Server Series ;92
List_of_AMD_graphics_processing_units    Radeon R200 (8xxx  9xxx) Series ;100
List_of_AMD_graphics_processing_units    Radeon Sky Series ;92
List_of_AMD_graphics_processing_units    FireMV (Multi View) Series ;84
List_of_AMD_graphics_processing_units    FirePro (Multi View) Series ;93
List_of_AMD_graphics_processing_units    FireStream Series ;100
List_of_AMD_graphics_processing_units    FirePro Remote Series ;92
List_of_AMD_graphics_processing_units    Mobility FireGL Series ;93
List_of_AMD_graphics_processing_units    FirePro (Mxxxx) Series ;93
List_of_AMD_graphics_processing_units    Console graphics processors ;92
List_of_AMD_graphics_processing_units    IGP (9xxx Series) ;100
List_of_AMD_graphics_processing_units    AGP (9xxx Series) ;100
List_of_AMD_graphics_processing_units    PCI E (X3xx  X5xx  X6xx  X1xxx Series) ;100
List_of_AMD_graphics_processing_units    IGP (X2xx  11xx Series) ;100
List_of_BPEL_engines;100
List_of_FTP_server_software    Graphical ;100
List_of_FTP_server_software    Console terminal based ;100
List_of_FTP_server_software    Libraries ;100
List_of_FTP_server_software    Summary board ;100
List_of_Intel_graphics_processing_units    First generation ;53
List_of_Intel_graphics_processing_units    Second generation ;53
List_of_Intel_graphics_processing_units    Third generation ;53
List_of_Intel_graphics_processing_units    Fourth generation ;53
List_of_Intel_graphics_processing_units    Fifth generation ;61
List_of_Intel_graphics_processing_units    Sixth generation ;61
List_of_Intel_graphics_processing_units    Seventh generation ;61
List_of_Intel_graphics_processing_units    Eighth generation ;61
List_of_Intel_graphics_processing_units    PowerVR based ;57
List_of_Intel_graphics_processing_units    Notes ;100
List_of_Nvidia_graphics_processing_units   Pre GeForce;100
List_of_Nvidia_graphics_processing_units   GeForce256 Series;100
List_of_Nvidia_graphics_processing_units   Features;100
List_of_Nvidia_graphics_processing_units   GeForce 8 (8xxx) Series;94
List_of_Nvidia_graphics_processing_units   Features;100
List_of_Nvidia_graphics_processing_units   GeForce 9 (9xxx) Series;94
List_of_Nvidia_graphics_processing_units   Features;90
List_of_Nvidia_graphics_processing_units   GeForce 100 Series;94
List_of_Nvidia_graphics_processing_units   GeForce 200 Series;94
List_of_Nvidia_graphics_processing_units   Features;100
List_of_Nvidia_graphics_processing_units   GeForce 300 Series;94
List_of_Nvidia_graphics_processing_units   GeForce 400 Series;95
List_of_Nvidia_graphics_processing_units   GeForce2 Series;100
List_of_Nvidia_graphics_processing_units   GeForce 500 Series;95
List_of_Nvidia_graphics_processing_units   GeForce 600 Series;95
List_of_Nvidia_graphics_processing_units   GeForce 700 Series;89
List_of_Nvidia_graphics_processing_units   GeForce 900 Series;89
List_of_Nvidia_graphics_processing_units   GeForce2 Go Series;100
List_of_Nvidia_graphics_processing_units   GeForce4 Go Series;100
List_of_Nvidia_graphics_processing_units   GeForce FX Go 5 (Go 5xxx) Series;100
List_of_Nvidia_graphics_processing_units   GeForce Go 6 (Go 6xxx) Series;100
List_of_Nvidia_graphics_processing_units   GeForce Go 7 (Go 7xxx) Series;100
List_of_Nvidia_graphics_processing_units   GeForce 8M (8xxxM) Series;93
List_of_Nvidia_graphics_processing_units   GeForce3 Series;100
List_of_Nvidia_graphics_processing_units   GeForce 9M (9xxxM) Series;93
List_of_Nvidia_graphics_processing_units   GeForce 100M (1xxM) Series;93
List_of_Nvidia_graphics_processing_units   GeForce 200M (2xxM) Series;93
List_of_Nvidia_graphics_processing_units   GeForce 300M (3xxM) Series;92
List_of_Nvidia_graphics_processing_units   GeForce 400M (4xxM) Series;92
List_of_Nvidia_graphics_processing_units   GeForce 500M (5xxM) Series;92
List_of_Nvidia_graphics_processing_units   GeForce 600M (6xxM) Series;92
List_of_Nvidia_graphics_processing_units   GeForce 700M (7xxM) Series;92
List_of_Nvidia_graphics_processing_units   GeForce 800M (8xxM) Series;92
List_of_Nvidia_graphics_processing_units   GeForce 900M (9xxM) Series;93
List_of_Nvidia_graphics_processing_units   GeForce4 Series;100
List_of_Nvidia_graphics_processing_units   Quadro;93
List_of_Nvidia_graphics_processing_units   Quadro FX Series;93
List_of_Nvidia_graphics_processing_units   Quadro FX (x300) Series;93
List_of_Nvidia_graphics_processing_units   Quadro FX (x400) Series;93
List_of_Nvidia_graphics_processing_units   Quadro FX (x500) Series;93
List_of_Nvidia_graphics_processing_units   Quadro FX (x600) Series;93
List_of_Nvidia_graphics_processing_units   Quadro FX (x700) Series;93
List_of_Nvidia_graphics_processing_units   Quadro FX (x800) Series;93
List_of_Nvidia_graphics_processing_units   Quadro x000 Series;93
List_of_Nvidia_graphics_processing_units   Quadro Kxxx Series;93
List_of_Nvidia_graphics_processing_units   GeForce4 Series;100
List_of_Nvidia_graphics_processing_units   Quadro Kxxx Series;93
List_of_Nvidia_graphics_processing_units   Quadro Mxxx Series;93
List_of_Nvidia_graphics_processing_units   Quadro NVS;93
List_of_Nvidia_graphics_processing_units   Tesla;54
List_of_Nvidia_graphics_processing_units   Quadro FX (xxxM) Series;93
List_of_Nvidia_graphics_processing_units   Quadro FX (x500M) Series;93
List_of_Nvidia_graphics_processing_units   Quadro FX (x600M) Series;93
List_of_Nvidia_graphics_processing_units   Quadro FX (x700M) Series;93
List_of_Nvidia_graphics_processing_units   Quadro FX (x800M) Series;93
List_of_Nvidia_graphics_processing_units   Quadro (xxxxM) Series;93
List_of_Nvidia_graphics_processing_units   GeForce FX (5xxx) Series;100
List_of_Nvidia_graphics_processing_units   Quadro (Kx000M) Series;87
List_of_Nvidia_graphics_processing_units   Quadro (Kx100M) Series;87
List_of_Nvidia_graphics_processing_units   Mobility Quadro NVS Series;93
List_of_Nvidia_graphics_processing_units   Mobility NVS Series;93
List_of_Nvidia_graphics_processing_units   Comparison table  Grid GPUs;57
List_of_Nvidia_graphics_processing_units   Comparison table  Console GPUs;100
List_of_Nvidia_graphics_processing_units   GeForce 6 (6xxx) Series;100
List_of_Nvidia_graphics_processing_units   Features;100
List_of_Nvidia_graphics_processing_units   GeForce 7 (7xxx) Series;100
